job_title,company_name,city,search_keyword,salary_raw,salary_min,salary_max,education,experience,duration,company_size,industry,url,city_clean,company_size_clean,salary_valid,salary_mid,salary_tier,edu_score,competitiveness_score
后端开发实习生-音乐,,北京,Java开发,500-500,11,11,本科,不限,不限,2000人以上,互联网/游戏/软件,https://www.shixiseng.com/intern/inn_6bxbbexvvviy,北京,50人以下,TRUE,11,10-15k,2,0.8
AI开发实习生-抖音研发,,北京,Java开发,500-500,11,11,本科,不限,不限,2000人以上,互联网/游戏/软件,https://www.shixiseng.com/intern/inn_s4tcqfmeu5h3,北京,50人以下,TRUE,11,10-15k,2,0.8
后端开发实习生-剪映0ap001,,北京,Java开发,500-500,11,11,本科,不限,不限,2000人以上,互联网/游戏/软件,https://www.shixiseng.com/intern/inn_3dpvsmyr8hnm,北京,50人以下,TRUE,11,10-15k,2,0.8
后端开发实习生-抖音服务架构,,北京,Java开发,500-500,11,11,本科,不限,不限,2000人以上,互联网/游戏/软件,https://www.shixiseng.com/intern/inn_motragejpogx,北京,50人以下,TRUE,11,10-15k,2,0.8
后端开发实习生-抖音研发（北京/上海/深圳）,,北京,Java开发,500-500,11,11,本科,不限,不限,2000人以上,互联网/游戏/软件,https://www.shixiseng.com/intern/inn_cdmujcvzrqad,北京,50人以下,TRUE,11,10-15k,2,0.8
AI开发实习生-抖音研发,,北京,Java开发,500-500,11,11,本科,不限,不限,2000人以上,互联网/游戏/软件,https://www.shixiseng.com/intern/inn_ccfcvy57ylyq,北京,50人以下,TRUE,11,10-15k,2,0.8
客户端开发实习生-剪映,,北京,Java开发,500-500,11,11,本科,不限,不限,2000人以上,互联网/游戏/软件,https://www.shixiseng.com/intern/inn_wex2xrbuzckn,北京,50人以下,TRUE,11,10-15k,2,0.8
前端开发实习生-抖音研发（北京/上海/深圳）,,北京,Java开发,500-500,11,11,本科,不限,不限,2000人以上,互联网/游戏/软件,https://www.shixiseng.com/intern/inn_ozoxjfiqy5wd,北京,50人以下,TRUE,11,10-15k,2,0.8
客户端开发实习生-抖音研发（北京/上海/深圳）,,北京,Java开发,500-500,11,11,本科,不限,不限,2000人以上,互联网/游戏/软件,https://www.shixiseng.com/intern/inn_14nxytq6gwip,北京,50人以下,TRUE,11,10-15k,2,0.8
【拼多多集团】2027届服务端研发实习生,,上海,Java开发,500-500,11,11,本科,不限,不限,2000人以上,互联网/游戏/软件,https://www.shixiseng.com/intern/inn_gvo9umg56xup,上海,50人以下,TRUE,11,10-15k,2,0.8
数据开发实习生-用户增长(北京/上海）,,上海,Java开发,500-500,11,11,本科,不限,不限,2000人以上,互联网/游戏/软件,https://www.shixiseng.com/intern/inn_zrsppjbsmb43,上海,50人以下,TRUE,11,10-15k,2,0.8
客户端开发实习生-剪映,,广州,Java开发,500-500,11,11,本科,不限,不限,2000人以上,互联网/游戏/软件,https://www.shixiseng.com/intern/inn_iqj2bzj1cdiz,广州,50人以下,TRUE,11,10-15k,2,0.8
后端开发实习生-剪映0ap001,,广州,Java开发,500-500,11,11,本科,不限,不限,2000人以上,互联网/游戏/软件,https://www.shixiseng.com/intern/inn_gxela1ua5kgo,广州,50人以下,TRUE,11,10-15k,2,0.8
后端开发实习生-抖音服务架构,,广州,Java开发,500-500,11,11,本科,不限,不限,2000人以上,互联网/游戏/软件,https://www.shixiseng.com/intern/inn_bvf7ihmvnalk,广州,50人以下,TRUE,11,10-15k,2,0.8
后端开发实习生-剪映0ap001,,深圳,Java开发,500-500,11,11,本科,不限,不限,2000人以上,互联网/游戏/软件,https://www.shixiseng.com/intern/inn_swtlnekj3fzh,深圳,50人以下,TRUE,11,10-15k,2,0.8
后端开发实习生-抖音服务架构,,深圳,Java开发,500-500,11,11,本科,不限,不限,2000人以上,互联网/游戏/软件,https://www.shixiseng.com/intern/inn_nli75jrvybe5,深圳,50人以下,TRUE,11,10-15k,2,0.8
后端开发实习生-用户增长（05er 9r0w1h）,,深圳,Java开发,500-500,11,11,本科,不限,不限,2000人以上,互联网/游戏/软件,https://www.shixiseng.com/intern/inn_wn1y1dra9vhk,深圳,50人以下,TRUE,11,10-15k,2,0.8
客户端开发实习生-剪映,,深圳,Java开发,500-500,11,11,本科,不限,不限,2000人以上,互联网/游戏/软件,https://www.shixiseng.com/intern/inn_9olcjr1ttniz,深圳,50人以下,TRUE,11,10-15k,2,0.8
前端开发实习生-用户增长（05er 9r0w1h）,,深圳,Java开发,500-500,11,11,本科,不限,不限,2000人以上,互联网/游戏/软件,https://www.shixiseng.com/intern/inn_jrrloi61a3mp,深圳,50人以下,TRUE,11,10-15k,2,0.8
算法实习生-抖音研发,,上海,后端开发,500-500,11,11,本科,不限,不限,2000人以上,互联网/游戏/软件,https://www.shixiseng.com/intern/inn_6ayft5jb6jof,上海,50人以下,TRUE,11,10-15k,2,0.8
